public_food_key,classification,food_name,food_description,protein_g_per_100g,carbohydrate_g_per_100g,fat_g_per_100g,fibre_g_per_100g
F000002,15202,"Abalone, black lip, aquacultured, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Aquacultured.,16.2,1.6,0.8,0
F000003,15202,"Abalone, black lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a black ring surrounding the flesh. Wild caught.,19.4,1.6,0.6,0
F000004,15202,"Abalone, brown lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a brown ring surrounding the flesh. Wild caught.,17.8,1.6,0.6,0
F000005,15202,"Abalone, green lip, aquacultured, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Aquacultured.,17.1,1.6,0.8,0
F000006,15202,"Abalone, green lip, wild, raw",Uncooked greyish-brown flesh of a single-shelled mollusc which is characterised by a green ring surrounding the flesh. Wild caught.,18.7,1.6,0.5,0
F000050,29301,"Alcoholic beverage, spirit, ~30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products, that has been heated until a large proportion of alcohol has evaporated.",0,0.3,0,0
F000051,29301,"Alcoholic beverage, spirit, ~40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)","Includes beverages obtained from the distillation of wine or fermented sugar, cereals or potatoes, or the fermented preparation of grapes or grape products.",0,0.1,0,0
F000061,12101,"Amaranth, grain, whole, uncooked","Very small, round grains, with a light sandy/beige colour.",15.2,55.6,6.4,11.1
F000074,15401,"Anchovy, canned in oil, drained","Anchovy fillets preserved by canning in edible oil (including olive and soy oils) and salt, then drained.",25.4,0,8.9,0
F000086,16101,"Apple, bonza, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,0.3,12,0.3,3.2
F000089,16802,"Apple, dried","Round shaped fruit with either a green or red waxy skin and cream/white coloured flesh. Peeled, cut (into rings or diced) and dried before packaging.",1.2,60.4,0,8.5
F000091,16101,"Apple, fuji, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,0.3,12.5,0.3,2.4
F000092,16101,"Apple, golden delicious, unpeeled, raw",Round shaped fruit with golden green skin and cream coloured flesh.,0.3,11.8,0,2.4
F000095,16101,"Apple, granny-smith, unpeeled, raw",Round shaped fruit with green skin and cream/white coloured flesh.,0.3,11,0,2.5
F000098,16101,"Apple, green skin, unpeeled, raw",Round shaped fruit with green/golden skin and cream/white flesh. Unpeeled. Includes Granny Smith and Golden Delicious varieties.,0.3,11.4,0,2.5
F000099,16101,"Apple, jonathan, unpeeled, raw",Round shaped fruit with red skin and cream/white coloured flesh.,0.3,12.3,0,2.3
F000105,16101,"Apple, pink lady, unpeeled, raw",Round shaped fruit with pink/red skin and cream coloured flesh.,0.2,12.8,0,3
F000107,16101,"Apple, red delicious, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,0.3,13.8,0,2.3
F000108,16101,"Apple, red skin, peeled, raw","Fresh peeled red skinned apples including pink lady, red delicious, royal gala and fuji varieties.",0.2,13.6,0,1.8
F000110,16101,"Apple, red skin, unpeeled, raw","Round shaped fruit with red/pink skin and cream/white flesh. Includes varieties such as pink lady, red delicious, royal gala, fuji, jonathan and bonza.",0.2,13.1,0,2.5
F000111,16101,"Apple, royal gala, unpeeled, raw",Round shaped fruit with red skin and cream coloured flesh.,0.4,12.1,0,2.1
F000122,16404,"Apricot, canned in pear juice","Small, orange-coloured stone fruit canned in pear juice.",0.8,9.6,0,1.8
F000123,16404,"Apricot, canned in pear juice, drained","Small, orange-coloured stone fruit canned in pear juice, then drained.",1,8.9,0,3.1
F000124,16404,"Apricot, canned in pear juice, juice only",Pear juice from canned apricots.,0.5,10.5,0,0
F000130,16802,"Apricot, dried","Small, orange-coloured stone fruit dried prior to packaging. May be treated to prevent browning.",4.2,48.4,0.4,8.3
F000134,16403,"Apricot, raw","Small, orange coloured stone fruit.",0.2,7.3,0.4,1.8
F000141,24402,"Artichoke heart, canned in brine, drained","Central edible portion of the unopened flower bud, with tightly wrapped leaves gold-green to purple in colour. Canned in brine, then drained.",1.9,1.2,0.3,4.7
F000142,24402,"Artichoke, globe, boiled, drained","The unopened flower bud of a thistle with gold-green to purple coloured leaves surrounding a hairy inedible choke, on top of an edible heart. Round to conical in shape. Lower leaves and heart boiled in unsalted water without added fat, then drained.",3.3,1.5,0.2,9.5
F000144,24402,"Artichoke, globe, raw","The unopened flower bud of a thistle with gold-green to purple coloured leaves surrounding a hairy inedible choke, on top of an edible heart. Round to conical in shape. Edible portion comprises lower part of leaves and heart. Uncooked.",2.8,1.3,0.2,8.1
F000145,24402,"Artichoke, jerusalem, peeled, boiled, drained","Yellow-beige tuber or root with short knobbly, club shaped branches. Peeled and boiled in unsalted water without added fat, then drained.",2.2,11.3,0.1,3.2
F000146,24402,"Artichoke, jerusalem, peeled, raw","Yellow-beige tuber or root with short knobbly, club shaped branches. Uncooked and peeled.",2.1,10.5,0.1,3
F000149,24402,"Asparagus, canned in brine, drained","Long crisp green stem with a fragile feathery tip cut into pieces, canned in brine, then drained.",1.9,1.5,0.1,3.9
F000151,24402,"Asparagus, green, boiled, drained","Long crisp green stem with a fragile feathery tip, boiled in unsalted water without added fat, then drained.",2.9,1.6,0.1,2.5
F000153,24402,"Asparagus, green, fresh or frozen, baked, roasted, stir-fried or fried, grilled or BBQ'd, no added fat","Long crisp green stem with a fragile feathery tip, baked, roasted, stir-fried or fried, grilled or BBQ'd without added fat.",3,1.7,0.1,2.6
F000155,24402,"Asparagus, green, raw",Long crisp green stem with a fragile feathery tip. Uncooked.,2.5,1.4,0.1,2.2
F000162,24705,"Avocado, hass, raw","Almost pear shaped, with a green to black shiny skin and a delicate yellow flesh with a green outer hue. Uncooked.",1.6,2.2,14.6,5.9
F000223,18601,"Bacon, middle rasher, separable fat, fried, no added fat","Cured, smoked and cooked pork middle rasher containing salt, sugar, mineral salts, antioxidant, nitrite and water. Fat portion only. Fried with no added fat.",11.6,0.4,81.1,0
F000224,18601,"Bacon, middle rasher, separable lean, fried, no added fat","Cured, smoked and cooked pork middle rasher containing salt, sugar, mineral salts, antioxidant, nitrite and water. All internal and external fat of the rasher removed. Cooked by frying with no added fat.",31.2,0.8,8.5,0
F000227,18601,"Bacon, middle rasher, untrimmed, baked, roasted, fried, grilled or BBQ'd, no added fat","Cured, smoked and cooked pork middle rasher containing salt, sugar, mineral salts, antioxidant, nitrite and water. Cooked by baking, roasting, frying, stir-fried, grilling or BBQ'ing without added fat.",20.6,0.3,37.6,0
F000228,18601,"Bacon, middle rasher, untrimmed, raw","Cured, smoked and cooked pork middle rasher containing salt, sugar, mineral salts, antioxidant, nitrite and water. All internal and external fat of the rasher maintained.",15.4,0.2,28.2,0
F000231,18601,"Bacon, shortcut, as purchased without rind, fried, no added fat","Cured, smoked and cooked pork shortcut rasher containing salt, sugar, mineral salts, antioxidant, nitrite and water. Fat portion and rind of rasher removed.",30.4,0.9,13.9,0
F000233,12201,"Bagel, from white flour, commercial",A ring of baked yeast dough with a chewy centre and a crusty outside. It is typically 8-10cm in diameter. Usually poached in water or steamed before being baked. Contains added folic acid and iodised salt. Ready to eat.,10.4,50.7,1.4,3.1
F000234,12201,"Bagel, from white flour, commercial, toasted",A ring of baked yeast dough with a chewy centre and a crusty outside. It is typically 8-10cm in diameter. Usually poached in water or steamed before being baked. Contains added folic acid and iodised salt. Cooked by toasting after purchase.,11.8,57.6,1.6,3.5
F000243,25201,"Baked beans, canned in tomato sauce","Navy/haricot beans canned in tomato sauce. Contains added salt, sugar, food acids, maize thickener and flavour.",4.8,13,0.3,4.8
F000244,25201,"Baked beans, canned in tomato sauce, reduced salt","Navy/haricot beans canned in tomato sauce, formulated to have a reduced salt content. Contains added salt, sugar, food acids, maize thickener and flavour.",4.8,13,0.3,4.8
F000247,31501,"Baking powder, dry powder","Fine white powder used to chemically leaven baked goods such as cakes. Composed of 50% cream of tartar, 25% baking soda, and 25% starch.",0.8,19.8,0.3,0.4
F000248,31501,"Baking soda (bicarbonate), dry powder",Fine white powder used to chemically leaven baked goods such as cakes.,0,0,0,0
F000253,24402,"Bamboo shoot, canned in water, heated, drained","Tender young shoots of an edible bamboo plant, cream in colour with a fibrous texture. Sliced and canned in water. Heated in own juice, then drained.",0.8,1.3,0,2.8
F000257,16802,Banana chip,"Dried, thinly sliced banana product that is sometimes fried in oil and coated with a sugary film.",2.3,50.7,33.6,7.7
F000262,16502,"Banana, cavendish, peeled, raw",Long cylindrical fruit with thick yellow skin and cream-coloured flesh.,1.4,19.9,0.2,2.2
F000267,16502,"Banana, lady finger or sugar, peeled, raw",Medium sized cylindrical fruit with a thick yellow skin and cream coloured flesh. Also known as sugar banana.,1,26.9,0,3
F000279,28102,"Bar, cherry & coconut centre, dark chocolate-coated",A cherry and coconut flavoured snack bar coated in a layer of dark chocolate.,4.4,52.6,22.4,4.7
F000285,28102,"Bar, coconut cream centre, milk chocolate-coated",Chocolate-coated bar with coconut cream centre.,4.5,52.1,22.4,7.4
F000296,28103,"Bar, honeycomb centre, milk chocolate-coated",Chocolate-coated bar with honeycomb centre.,2.6,70,16.2,0.3
F000333,28301,"Bar, muesli, plain or with dried fruit","Snack style product whose major ingredients include rolled oats, sugars and vegetable oils, and generally have added dried fruits (typically apricot, sultana and apple).",8.3,59.2,11.5,7
F000337,28301,"Bar, muesli, plain or with dried fruit, chocolate-coated","Snack style bar whose major ingredients include rolled oats, sugars, vegetable oil, puffed rice, dried fruit or fruit juice, nuts and seeds. The bar is covered or topped with chocolate.",6.1,64.1,11.5,6.4
F000344,28301,"Bar, muesli, with nuts","Snack style product whose major ingredients include rolled oats, sugars, vegetable oils and nuts (typically cashews, almonds, pecans or macadamias).",9.4,54.2,19.9,6.8
F000348,28103,"Bar, nougat & caramel centre, milk chocolate-coated",Chocolate-coated bar with nougat and caramel centre.,3.4,68.9,15.9,1.4
F000368,28302,"Bar, snack, fruit filled, baked","Snack style product with a fruit-based filling covered in a wheat-based pastry-like layer. Major ingredients include fruit filling (glucose, fruit, thickeners, food acid and flavours), wheat and oats and vegetable fats and oils.",3.9,71.1,3,4.5
F000372,28103,"Bar, wafer & cream layers, chocolate-coated",Chocolate bar consisting of a wafer and cream centre with a chocolate coating.,6.2,59.7,27.2,1.9
F000378,12101,"Barley, pearl, boiled, no added fat or salt","Grain that has had the bran removed, then is steamed and polished. Prepared by boiling in unsalted water until tender without the addition of fat or salt.",4.1,25.1,1.3,5.4
F000379,12101,"Barley, pearl, uncooked","Grain that has had the bran removed, then is steamed and polished. Uncooked.",9.9,60.6,3.1,13.1
F000385,15101,"Barramundi, aquacultured, fillet, grilled, no added fat","Barramundi with or without skin, cooked by baking, roasting, frying, grilling or BBQ'ing without added fat.",26.4,0,7.3,0
F000386,15101,"Barramundi, aquacultured, fillet, raw","Uncooked barramundi fillet, produced under aquaculture and imported into Australia.",19.2,0,5.3,0
F000387,15101,"Barramundi, aquacultured, fillet, steamed with no added fat","Barramundi with or without skin, cooked by boiling, microwaving, steaming or poaching, without added fat.",22.9,0,6.3,0
F000396,24403,"Basil, green, fresh, raw","Large, green, oval-shaped, pointed leaves, with a distinct sweet smell and taste. Uncooked.",2.6,0.2,0.5,3.3
F000401,15101,"Bassa (basa), fillet, baked, no added fat","Bassa (basa) fillet, produced by aquaculture and imported into Australia, that has been baked with no added fat.",21.5,0,2.4,0
F000402,15101,"Bassa (basa), fillet, raw","Uncooked bassa (basa) fillet, produced by aquaculture and imported into Australia.",15.7,0,1.8,0
F000403,15101,"Bassa (basa), fillet, steamed, no added fat","Bassa (basa) with or without skin, cooked by boiling, microwaving, steaming or poaching, without added fat.",18.7,0,2.1,0
F000416,24502,"Bean, broad, dried","Fresh seed, generally green in colour, removed from its pod. Uncooked.",24.3,37,2.1,18.6
F000418,24502,"Bean, broad, fresh, boiled, drained","Fresh seed, generally green in colour, removed from its pod and boiled in unsalted water without added fat, then drained. Outer seed skin not removed.",7.4,2.4,0.5,7.6
F000419,24502,"Bean, broad, fresh, raw","Fresh seed, generally green in colour, removed from its pod. Uncooked.",6.9,2.2,0.5,7.1
F000421,24502,"Bean, butter, fresh, boiled, drained","Fresh seed and its pod, both of which are generally creamy yellow in colour, boiled in unsalted water without added fat, then drained.",2.5,2.5,0.2,2.5
F000422,24502,"Bean, butter, fresh, raw","Fresh seed and its pod, both of which are generally creamy yellow in colour. Uncooked.",2.3,2.3,0.2,2.3
F000428,24502,"Bean, green, fresh, cooked, no added fat","Long, thin, green, crisp pod with small round smooth seeds inside. Cooked by baking, roasting, frying, stir-frying, grilling or BBQ'ing without added fat.",2.1,3.9,0,3.2
F000430,24502,"Bean, green, fresh, boiled, drained","Long, thin, green, crisp pod with small round smooth seeds inside. Trimmed, sliced, and boiled in unsalted water without added fat, then drained.",1.9,3.5,0,3
F000431,24502,"Bean, green, fresh, raw","Long, thin, green, crisp pod with small, round, smooth seeds inside. Uncooked.",1.8,3.3,0,2.8
F000434,24502,"Bean, green, frozen, boiled, drained","Long, thin, green, crisp pod with small round smooth seeds inside sliced and commercially packaged frozen. Boiled at home in unsalted water without added fat, then drained.",1.4,2.8,0.2,3.8
F000436,25101,"Bean, haricot, dried","Small white bean, round to oval in shape. Dried and uncooked.",21.9,34.8,2.2,18.5
F000437,25101,"Bean, haricot, dried, boiled, drained","Small white beans, round to oval in shape that have been dried, then soaked overnight, before boiling in unsalted water and drained.",8.2,12.6,0.7,8.8
F000441,25101,"Bean, lima, dried","Flat kidney shaped bean which can be white or green, large or small. Dried and uncooked. Popularly called butter bean. Produced in USA, South America and Madagascar, imported into Australia.",21.4,40.6,1.7,17.7
F000442,25101,"Bean, lima, dried, boiled, drained","Flat kidney shaped bean can be white or green, large or small that have been dried, then soaked in water before boiling in unsalted water and draining. Slightly sweet flavour when cooked. Popularly called butter bean. Produced in USA, South America and Madagascar, imported into Australia.",6.4,10.2,0.3,5.3
F000446,24502,"Bean, mung, whole, dried, uncooked","Small, squarish, dark green beans. Whole, uncooked.",24.5,41.9,2,13.7
F000448,25102,"Bean, red kidney, canned, drained","Kidney shaped bean either elongated or plump in shape ranging in colour from dusky pink to deep red, canned in sweetened brine, then drained.",6.6,14,0.6,6.5
F000449,25101,"Bean, red kidney, dried",Kidney shaped bean either elongated or plump in shape ranging in colour from dusky pink to deep red. Dried and uncooked.,22.5,35.6,1.8,21.5
F000451,25101,"Bean, red kidney, dried, boiled, drained","Kidney shaped bean either elongated or plump in shape ranging in colour from dusky pink to deep red that have been dried, then soaked in water overnight before boiling in unsalted water and draining.",7.9,9.1,0.5,7.2
F000452,24502,"Bean, red kidney, fresh, boiled, drained","Fresh seeds, generally red in colour, removed from their pod, boiled in unsalted water without added fat, then drained.",13.8,15.8,0.4,9.8
F000453,24502,"Bean, red kidney, fresh, raw","Fresh seed, generally red in colour, removed from its pod. Uncooked.",12.8,14.7,0.4,9.1
F000458,25101,"Bean, soya (soy), dried","Small oval shaped, creamy yellow coloured beans with a floury texture from the pod of soybean plant.",31.3,12.5,20.2,20.1
F000459,25101,"Bean, soya (soy), dried, boiled, drained","Small oval shaped, creamy yellow coloured beans with a floury texture from the pod of soybean plant. Dried beans soaked, then cooked by boiling in unsalted water and draining, by microwaving, or by steaming.",13.5,1.4,7.7,7.2
F000472,18101,"Beef, all cuts, separable fat, cooked, no added fat","Cooked internal and external separable fat from 13 different cuts of beef from various regions of the carcase. Oven roasted or grilled as purchased, still attached to the lean muscle meat, with no added fat to an internal temperature of 70 degrees celsius or until 'medium', then dissected.",15.3,0,55.6,0
F000473,18101,"Beef, all cuts, separable fat, raw",Raw internal and external separable fat from 13 different cuts of beef from various regions of the carcase.,12.1,0,61.4,0
F000513,18101,"Beef, casserole meat, boneless or bone-in, shin, lean, casseroled, no added fat",Boneless cooked beef from the shin (or leg) of the carcase. Lean muscle meat only. All possible internal and external separable fat removed after cooking.,33.8,0,2.8,0.5
F000514,18101,"Beef, casserole meat, boneless or bone-in, shin, lean, raw",Boneless raw beef from the shin (or leg) of the carcase. Lean muscle meat only. All possible internal and external separable fat removed.,21.9,0,0.6,0
F000517,18101,"Beef, casserole meat, boneless or bone-in, shin, untrimmed, casseroled, no added fat",Cooked beef from the shin (or leg) of the carcase. Lean muscle meat with internal fat and external fat attached.,30.6,0,11.8,0.4
F000518,18101,"Beef, casserole meat, boneless or bone-in, shin, untrimmed, raw",Raw beef from the shin (or leg) of the carcase. Lean muscle meat with internal and external fat attached.,21.3,0,4.2,0
F000522,18101,"Beef, casserole meat, boneless, chuck, lean, casseroled, no added fat","Cooked beef from the fore portion of the carcase. Browned, simmered in minimal water for 2 hours then drained. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",33,0,10.6,0
F000523,18101,"Beef, casserole meat, boneless, chuck, lean, raw","Raw beef from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",23,0,3.4,0
F000526,18101,"Beef, casserole meat, boneless, chuck, untrimmed, casseroled, no added fat","Cooked beef from the fore portion of the carcase. Browned, simmered in minimal water for 2 hours then drained, without added fat. Lean muscle meat with all internal and external fat attached.",31.2,0,15.1,0
F000527,18101,"Beef, casserole meat, boneless, chuck, untrimmed, raw",Raw beef from the fore portion of the carcase. Lean muscle meat with all internal and external fat attached.,21.7,0,10.4,0
F000544,18606,"Beef, corned, canned","Canned processed meat product containing cooked beef, salt, sugar, sodium nitrite and water.",21.5,0.3,15.7,0.7
F000559,18101,"Beef, diced, lean, casseroled, no added fat","Cooked beef, purchased diced and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",36.5,0,3.5,0
F000560,18101,"Beef, diced, lean, dry-fried, no added fat","Cooked beef, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",32.1,0,2.9,0
F000561,18101,"Beef, diced, lean, raw","Raw beef, purchased diced and likely to be from various regions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",27.9,0,2.7,0
F000562,18101,"Beef, diced, untrimmed, casseroled, no added fat","Cooked beef, purchased diced and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat with all internal and external separable fat attached.",36.2,0,4.3,0
F000563,18101,"Beef, diced, untrimmed, dry-fried, no added fat","Cooked beef, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with internal and external fat attached.",31.8,0,3.7,0
F000564,18101,"Beef, diced, untrimmed, raw","Raw beef, purchased diced and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached.",27.6,0,3.9,0
F000655,18101,"Beef, mince, higher fat, raw",Raw minced beef supplied with a fat content greater than 10%.,22.5,0,10.4,0
F000656,18101,"Beef, mince, higher fat, stir-fried, no added fat",Minced beef supplied with a fat content greater than 10% when raw. Fried with no added fat.,27.6,0,13.5,0
F000666,18101,"Beef, mince, lower fat, raw","Raw minced beef supplied with a fat content less than 5%. Commonly includes minced beef labelled as lean, heart smart, five star or ultra fine.",22.9,0,4.1,0
F000667,18101,"Beef, mince, lower fat, stir-fried, no added fat",Minced beef supplied with a fat content less than 5% when raw. Fried with no added fat.,32.3,0,8.1,0
F000678,18101,"Beef, mince, regular fat, raw",Raw minced beef supplied with a fat content between 5-10%.,22.4,0,8.9,0
F000679,18101,"Beef, mince, regular fat, stir-fried, no added fat",Minced beef supplied with a fat content between 5-10% when raw. Fried with no added fat.,29.5,0,16.4,0
F000738,18101,"Beef, rump steak, lean, grilled, no added fat","Cooked beef from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",32,0,4.5,0
F000739,18101,"Beef, rump steak, lean, raw","Raw beef from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",20.4,0,2.8,0
F000764,18101,"Beef, rump steak, untrimmed, grilled, no added fat",Cooked beef from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,29.9,0,10.8,0
F000765,18101,"Beef, rump steak, untrimmed, raw",Raw beef from the hind portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.,20,0,5.6,0
F000792,18101,"Beef, silverside roast, lean, raw","Raw beef from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",24.1,0,2.3,0
F000793,18101,"Beef, silverside roast, lean, roasted, no added fat","Cooked beef from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",26.9,0,5.6,0
F000798,18101,"Beef, silverside roast, untrimmed, raw",Raw beef from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,22.8,0,8.7,0
F000799,18101,"Beef, silverside roast, untrimmed, roasted, no added fat",Cooked beef from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat with internal and external fat attached.,26,0,9.6,0
F000809,18101,"Beef, sirloin steak, lean, grilled, no added fat","Cooked beef from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",30.5,0,3.8,0
F000810,18101,"Beef, sirloin steak, lean, raw","Raw beef from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",24.1,0,1.9,0
F000824,18101,"Beef, sirloin steak, untrimmed, grilled, no added fat",Cooked beef from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,27.3,0,14.7,0
F000825,18101,"Beef, sirloin steak, untrimmed, raw",Raw beef from the midsection of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.,23.4,0,5.4,0
F000826,18101,"Beef, steak, boneless or bone-in, blade, lean, raw","Raw beef from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",22.2,0,2.6,0
F000828,18101,"Beef, steak, boneless or bone-in, blade, untrimmed, raw",Raw beef from the fore portion of the carcase. Lean muscle meat with internal and external fat attached.,21,0,9.5,0
F000835,18101,"Beef, steak, boneless, fillet or tenderloin, lean, grilled, no added fat","Cooked beef from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",31.9,0,5.5,0
F000836,18101,"Beef, steak, boneless, fillet or tenderloin, lean, raw","Raw beef from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",22.2,0,5.2,0
F000838,18101,"Beef, steak, boneless, fillet or tenderloin, untrimmed, grilled, no added fat",Cooked beef from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,30.8,0,8.8,0
F000839,18101,"Beef, steak, boneless, fillet or tenderloin, untrimmed, raw",Raw beef from the midsection of the carcase. Lean muscle meat with internal and external fat attached.,21.4,0,9.3,0
F000840,18101,"Beef, steak, boneless, round, lean, grilled, no added fat","Cooked beef from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",31.8,0,2,0
F000841,18101,"Beef, steak, boneless, round, lean, raw","Raw beef from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",21,0,1.7,0
F000844,18101,"Beef, steak, boneless, round, untrimmed, grilled, no added fat",Cooked beef from the hind portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,31,0,4.6,0
F000845,18101,"Beef, steak, boneless, round, untrimmed, raw",Raw beef from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,20.4,0,6,0
F000846,18101,"Beef, steak, boneless, scotch fillet, lean, grilled, no added fat","Cooked beef from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",31.9,0,4.5,0
F000847,18101,"Beef, steak, boneless, scotch fillet, lean, raw","Raw beef from the fore portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",23.8,0,2.8,0
F000850,18101,"Beef, steak, boneless, scotch fillet, untrimmed, grilled, no added fat",Cooked beef from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,29.4,0,12.3,0
F000851,18101,"Beef, steak, boneless, scotch fillet, untrimmed, raw",Raw beef from the fore portion of the carcase. Lean muscle meat with internal fat. Majority of external fat removed.,22.4,0,10,0
F000877,18101,"Beef, steak, boneless or bone-in, blade, lean, grilled, no added fat","Cooked beef from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",31.9,0,2.9,0
F000879,18101,"Beef, steak, with bone, blade, untrimmed, grilled, no added fat",Cooked beef from the fore portion of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,30.5,0,7.4,0
F000886,18101,"Beef, steak, with bone, T-bone, lean, grilled, no added fat","Cooked beef from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",29.2,0,3.8,0
F000887,18101,"Beef, steak, with bone, T-bone, lean, raw","Raw beef from the midsection of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",24.4,0,2,0
F000890,18101,"Beef, steak, with bone, T-bone, untrimmed, grilled, no added fat",Cooked beef from the midsection of the carcase. Grilled for 6-10 minutes until 'medium' with no added fat. Lean muscle meat with internal and external fat attached.,26.3,0,14.5,0
F000891,18101,"Beef, steak, with bone, T-bone, untrimmed, raw",Raw beef from the midsection of the carcase. Lean muscle meat with internal and external fat attached.,21.3,0,16.9,0
F000929,18101,"Beef, stir-fry strips, lean, dry-fried, no added fat","Cooked beef, purchased diced and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",30.9,0,3.2,0
F000931,18101,"Beef, stir-fry strips, lean, raw","Raw beef, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",27.2,0,2,0
F000932,18101,"Beef, stir-fry strips, untrimmed, dry-fried, no added fat","Cooked beef, purchased as strips and likely to be from various regions of the carcase. Fried for 3-5 minutes with no added fat. Lean muscle meat with internal and external fat attached.",30.8,0,3.6,0
F000933,18101,"Beef, stir-fry strips, untrimmed, raw","Raw beef, purchased as strips and likely to be from various regions of the carcase. Lean muscle meat with internal and external fat attached.",27,0,2.7,0
F000934,18101,"Beef, strips, lean, casseroled, no added fat","Cooked beef, purchased as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",37.5,0,2.8,0
F000935,18101,"Beef, strips, untrimmed, casseroled, no added fat","Cooked beef, purchased as strips and likely to be from various regions of the carcase. Casseroled with no added fat. Lean muscle meat with all internal and external separable fat attached.",37.3,0,3.2,0
F000961,18101,"Beef, topside roast, lean, raw","Raw beef from the hind portion of the carcase. Lean muscle meat only, with all possible internal and external separable fat removed.",22.3,0,3,0
F000962,18101,"Beef, topside roast, lean, roasted, no added fat","Cooked beef from the hind portion of the carcase. Oven baked to an internal temperature of 70 degrees celsius with no added fat. Lean muscle meat only, with all possible internal and external separable fat removed after cooking.",32.7,0,2.8,0
F000966,18101,"Beef, topside roast, untrimmed, raw",Raw beef from the hind portion of the carcase. Lean muscle meat with internal and external fat attached.,21.3,0,8.6,0
