public_food_key,classification,food_name,food_description,protein_g_per_100g,carbohydrate_g_per_100g,fat_g_per_100g,fibre_g_per_100g
F002247,24705,"Capsicum, red, fresh, raw","A shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked.",1.1,4.4,0.4,1.1
F002257,28401,"Caramels, soft & hard",Soft and hard caramel confectionery including soft toffees.,2.5,74.5,11.4,1.5
F002258,31302,"Cardamom seed, dried, ground","Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking",10.8,34.4,6.7,28
F002263,24301,"Carrot, baby, baked, no added fat",Crisp root vegetable with orange flesh and green leaves/stem. Baked with no added fat.,0.8,6,0.1,3.6
F002265,24301,"Carrot, baby, peeled, fresh, boiled, drained","Crisp root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained.",0.8,5.9,0.1,3.5
F002266,24301,"Carrot, baby, peeled, fresh, raw",Crisp root vegetable with orange flesh and green leaves/stem. Uncooked.,0.7,5.5,0.1,3.3
F002274,24301,"Carrot, mature, peeled, fresh, baked, no added fat",Crisp root vegetable with orange flesh and green leaves/stem. Peeled and baked without added fat.,0.7,8,0,3.9
F002275,24301,"Carrot, mature, peeled, fresh, boiled, drained","Root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained.",1.1,5.1,0.3,3.3
F002276,24301,"Carrot, mature, peeled, fresh, raw",Root vegetable with orange flesh and green leaves/stem. Uncooked.,0.6,6.6,0,3.2
F002285,24302,"Cassava, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous flesh. Peeled and boiled in unsalted water without added fat, then drained.",1.2,32.7,0.3,5
F002286,24302,"Cassava, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous flesh. Uncooked.",1.1,30.4,0.2,4.6
F002287,24302,"Cassava, white flesh, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous white flesh. Peeled and boiled in unsalted water without added fat, then drained.",0.6,36.7,0.3,4.9
F002288,24302,"Cassava, white flesh, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous white flesh. Uncooked.",0.6,34.1,0.3,4.6
F002289,24302,"Cassava, yellow flesh, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous yellow flesh. Peeled and boiled in unsalted water without added fat, then drained.",1.7,28.7,0.2,5
F002290,24302,"Cassava, yellow flesh, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous yellow flesh. Uncooked.",1.6,26.7,0.2,4.7
F002374,24202,"Cauliflower, fresh, baked, no added fat","Tight white flower clusters which form the head, with a white stem. Baked, roasted, fried, stir-fried, grilled or BBQ'd without added fat.",2.3,4,0.2,1.5
F002377,24202,"Cauliflower, fresh, boiled, drained","Tight white flower clusters which form the head, with a white stem. Boiled in unsalted water, without added fat, then drained.",2,3.4,0.2,1.2
F002378,24202,"Cauliflower, fresh, raw","Tight white flower clusters which form the head, with a white stem. Uncooked.",1.9,3.3,0.2,1.2
F002383,24302,"Celeriac, peeled, boiled, drained","A thick tuberous root with brown skin and white flesh, with a celery like flavour. Peeled, chopped, and boiled in unsalted water without added fat, then drained.",1.7,5.4,0.2,5.5
F002384,24302,"Celeriac, peeled, raw","A thick tuberous root with brown skin and white flesh, with a celery like flavour. Uncooked.",1.6,5,0.2,5.1
F002389,24402,"Celery, fresh, fried, no added fat",A green upright vegetable with long stems and green leafy ends. Chopped and fried without added fat.,0.8,3.4,0.1,1.9
F002390,24402,"Celery, fresh, raw",A green upright vegetable with long stems and green leafy ends.,0.6,2.8,0.1,1.6
F002405,19401,"Cheese, blue vein","Prepared by the addition of culture, rennet and mould spores to cows milk to produce green, grey, blue or black spots of mould throughout the body of the cheese. Includes Australian and imported blue cheese.",19.1,0.3,32.9,0
F002406,19403,"Cheese, bocconcini","Fresh, soft cheese made from cows milk. Sold shaped into small balls and packed in brine or water.",16.6,0,20.2,0
F002407,19405,"Cheese, brie","Australian and imported soft cheese covered with white mould and labelled as being brie style or double brie. Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing.",18.6,0,31.8,0
F002408,19405,"Cheese, camembert","Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing to produce a soft creamy surface ripened cheese. Includes Australian and imported soft cheese covered with white mould and labelled as being camembert style.",18.6,0,27.9,0
F002413,19402,"Cheese, cheddar, natural, reduced fat (~25%)","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Formulated to have a fat content of approximately 25%.",27.9,0,23.4,0
F002414,19401,"Cheese, cheddar, natural, regular fat","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Includes unsliced mild, tasty and vintage varieties.",24.6,0.3,33.4,0
F002425,19407,"Cheese, cheddar, processed, reduced fat (~15%), added vitamin D","Commercially prepared processed cheddar cheese formulated to contain approximately 16% fat. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt and vitamin D to form a homogeneous mass. Supplied as slices or blocks.",22.4,4.9,15.4,0
F002428,19406,"Cheese, cheddar, processed, regular fat","Commercially prepared regular fat processed cheddar cheese. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt to form a homogeneous mass. Supplied as slices or blocks.",18.2,1.9,23.9,0
F002435,19403,"Cheese, cottage","Regular fat creamed cottage cheese, prepared by curdling, salting, draining and washing cows milk to produce an unripened, white curd cheese.",17,1.8,5.7,0
F002444,19403,"Cheese, cream, plain","Regular fat soft, white cheese prepared by blending, culturing and salting cows milk, cream and vegetable gum.",8.5,0.2,34.2,0
F002448,19401,"Cheese, edam","A semi-hard cheese made by curdling cows milk with rennet, followed by curing. Coated in oil or a red or yellow wax film. Includes Australian and imported edam cheese.",27.4,0,27.2,0
F002452,19401,"Cheese, fetta (feta)","Made by curdling cows milk with rennet, which is then sliced, salted and stored in either whey or brine. Includes Australian and imported fetta cheese.",16.6,0.4,20.6,0
F002462,19401,"Cheese, goat, firm",Cheese made from goats milk. Firm in texture.,18.6,0.8,31.3,0
F002463,19401,"Cheese, goat, soft",Cheese made from goats milk. Soft in texture.,21.2,0.9,21.7,0
F002466,19401,"Cheese, haloumi (halloumi)","Salty, semi-soft cheese that maintains its texture when cooked.",20.5,1,24.6,0
F002472,19401,"Cheese, mozzarella",Cheese made from cows milk with a rubbery texture. Typically added to pizza and other Italian-style dishes.,22.2,0,22.1,0
F002478,19401,"Cheese, parmesan, dried, finely grated","Parmesan-style cheese, prepared by removing the majority of cream from cows milk before heating, curdling and brining. Cheese is finely grated prior to sale and some additional moisture may be removed, so that the cheese does not generally require refrigerator storage.",40.6,0,33.3,0
F002479,19401,"Cheese, parmesan, fresh, regular fat","A hard granular cheese prepared by removing the majority of cream from cows milk before heating, curdling and brining.",32,0,27,0
F002488,19403,"Cheese, ricotta",Australian produced ricotta cheese. Prepared by collecting the whey from the coagulation of cows milk and further separation and draining.,10.4,2.7,11,0
F002513,16702,"Cherry, black, canned in syrup",Small black cherries canned in sugar syrup.,0.7,17,0,0.9
F002514,16404,"Cherry, black, canned in syrup, drained","Small black cherries canned in sugar syrup, then drained.",0.9,17,0.1,1.7
F002517,16404,"Cherry, black, canned in syrup, syrup only","Syrup made from water and sugar, used in canned black cherries.",0.5,17.1,0,0
F002522,16403,"Cherry, raw","Small, deep reddish-purple stone fruit.",1.1,16.9,0,1.4
F002559,18906,"Chicken piece, flesh, skin & fat, coated, fast food outlet, fried","Chicken breast, thigh, wing or drumstick piece with skin and fat with seasoned coating, fried on the bone in unspecified vegetable oil, as prepared in fast food style outlets. KFC Original recipe is an example of this style of product.",23.2,9.5,14.4,1
F002568,18301,"Chicken, barbecued, with skin","Whole chicken with skin, cooked in a commercial rotisserie oven. Chicken is generally rubbed with oil, spices and salt. Does not include stuffing.",27.5,0,8.9,1.1
F002590,18301,"Chicken, breast, lean flesh, baked, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Baked with no added fat.",29,0,3.9,0
F002591,18301,"Chicken, breast, lean flesh, casseroled, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Casseroled with added water then drained, no added fat.",27,0,3.7,0
F002592,18301,"Chicken, breast, lean flesh, fried, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Cut into thin strips and fried with no added fat.",34.5,0.7,1.8,0
F002593,18301,"Chicken, breast, lean flesh, grilled, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Grilled with no added fat.",29.8,0,2.5,0
F002594,18301,"Chicken, breast, lean flesh, raw","Raw flesh from breast portion of the chicken, with the skin and fat removed.",22.5,0,0.8,0
F002595,18301,"Chicken, breast, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the breast portion of a chicken. Baked with no added fat.",27.8,0,9.1,0
F002597,18301,"Chicken, breast, lean flesh, skin & fat, raw","Raw flesh, skin and fat from breast portion of a chicken.",20.2,0,8.7,0
F002645,18301,"Chicken, drumstick, lean flesh, baked, no added fat","Flesh from drumstick portion of a chicken, with the skin and fat removed. Baked with no added fat.",29.9,0.4,8.5,0
F002646,18301,"Chicken, drumstick, lean flesh, casseroled, no added fat","Flesh from drumstick portion of a chicken, with the skin and fat removed. Casseroled with added water then drained, no added fat.",28.6,0,6.6,0
F002647,18301,"Chicken, drumstick, lean flesh, raw","Uncooked flesh from drumstick portion of a chicken, with the skin and fat removed.",18.5,0,4.8,0
F002648,18301,"Chicken, drumstick, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from drumstick portion of a chicken. Baked with no added fat.",28.5,0.3,13.6,0
